epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4051,1.78559,3.20547,1.96731,0.76553,0.10452,0.1624,0.04665,1.98888,3.32248,2.27141,0.000366172,0.000366172,0.000366172
2,179.514,1.79492,2.66919,1.87036,0.28613,0.22583,0.09712,0.03182,2.00024,3.27316,2.11975,0.000721923,0.000721923,0.000721923
3,269.176,1.78183,2.49801,1.85436,0.72336,0.17971,0.1395,0.04852,2.11653,2.91533,2.24887,0.00106301,0.00106301,0.00106301
4,388.452,1.73887,2.3005,1.81843,0.53756,0.22646,0.13745,0.05182,2.05231,2.67054,2.13035,0.00104501,0.00104501,0.00104501
5,504.256,1.72509,2.24112,1.78923,0.74445,0.20646,0.16039,0.0598,2.00606,2.37539,2.07704,0.00102301,0.00102301,0.00102301
6,615.108,1.7038,2.13674,1.7833,0.32148,0.36781,0.24939,0.09894,2.04661,2.32887,2.09692,0.00100101,0.00100101,0.00100101
7,721.983,1.67471,2.0313,1.76359,0.65968,0.30911,0.27554,0.11423,1.94577,2.30086,2.06154,0.000979013,0.000979013,0.000979013
8,815.717,1.67213,2.00974,1.7675,0.5014,0.35224,0.2555,0.09386,1.87271,2.05907,1.98766,0.000957015,0.000957015,0.000957015
9,920.075,1.63782,1.91553,1.73757,0.63832,0.41772,0.31353,0.11544,1.97694,1.85299,2.04222,0.000935018,0.000935018,0.000935018
10,1021.25,1.62813,1.88323,1.72009,0.47012,0.22674,0.15568,0.05662,2.0485,2.58255,2.206,0.00091302,0.00091302,0.00091302
11,1128.06,1.61945,1.86458,1.68914,0.19968,0.37574,0.26452,0.10524,1.82829,2.17831,1.94188,0.000891022,0.000891022,0.000891022
12,1232.97,1.61963,1.8549,1.71692,0.48261,0.38251,0.24725,0.09902,1.88263,1.94793,1.97227,0.000869024,0.000869024,0.000869024
13,1351.42,1.60678,1.81984,1.67424,0.51193,0.42063,0.29917,0.12543,1.89017,1.76968,2.00331,0.000847026,0.000847026,0.000847026
14,1471.75,1.59839,1.76256,1.67709,0.50782,0.3177,0.257,0.08913,2.10811,2.19013,2.106,0.000825029,0.000825029,0.000825029
15,1577.91,1.5714,1.75452,1.66879,0.48395,0.3756,0.30477,0.11588,1.84944,2.00182,1.97677,0.000803031,0.000803031,0.000803031
16,1683.26,1.56501,1.73041,1.65674,0.60748,0.40111,0.31673,0.12945,1.84268,1.81917,1.90166,0.000781033,0.000781033,0.000781033
17,1787.09,1.55169,1.70154,1.64184,0.56488,0.46833,0.30684,0.12542,1.79232,1.79599,1.89242,0.000759035,0.000759035,0.000759035
18,1887.32,1.54655,1.70815,1.63413,0.66984,0.35822,0.29301,0.10685,1.96559,1.92755,2.05928,0.000737037,0.000737037,0.000737037
19,1987.7,1.52578,1.66184,1.63778,0.53701,0.43028,0.31702,0.13658,1.7965,1.71864,1.91884,0.00071504,0.00071504,0.00071504
20,2088.5,1.51089,1.63954,1.61624,0.5065,0.42791,0.30065,0.11522,1.89485,1.78581,1.95827,0.000693042,0.000693042,0.000693042
21,2193.03,1.52161,1.61371,1.62511,0.31653,0.42797,0.31265,0.12084,1.90899,1.83407,1.98457,0.000671044,0.000671044,0.000671044
22,2294.36,1.46647,1.57211,1.59313,0.58743,0.44389,0.33874,0.15486,1.79067,1.69925,1.89034,0.000649046,0.000649046,0.000649046
23,2404.27,1.47192,1.58192,1.58504,0.53988,0.45408,0.33567,0.14578,1.8852,1.64477,2.00197,0.000627048,0.000627048,0.000627048
24,2505.34,1.45682,1.57464,1.58347,0.64013,0.46408,0.35437,0.15587,1.83636,1.58813,1.93003,0.000605051,0.000605051,0.000605051
25,2606.13,1.47299,1.52426,1.58066,0.58603,0.41883,0.32907,0.13845,1.83292,1.65085,1.97094,0.000583053,0.000583053,0.000583053
26,2711.69,1.42689,1.52416,1.55856,0.31176,0.4537,0.31231,0.1297,1.82913,1.65896,1.90827,0.000561055,0.000561055,0.000561055
27,2813.74,1.44286,1.52882,1.57731,0.59577,0.46499,0.35346,0.15251,1.83874,1.59757,1.93742,0.000539057,0.000539057,0.000539057
28,2914.58,1.43526,1.48981,1.54453,0.54151,0.40125,0.30026,0.1332,1.91684,1.75556,1.99126,0.000517059,0.000517059,0.000517059
29,3018.18,1.42796,1.46762,1.55573,0.62317,0.41323,0.3302,0.1444,1.83944,1.60626,1.97617,0.000495062,0.000495062,0.000495062
30,3116.82,1.39675,1.4714,1.52991,0.60244,0.36617,0.33891,0.1493,1.81429,1.5922,1.89849,0.000473064,0.000473064,0.000473064
31,3218.39,1.40816,1.45156,1.53424,0.4672,0.3759,0.28485,0.12666,1.78912,1.65711,1.92267,0.000451066,0.000451066,0.000451066
32,3326.89,1.39416,1.46633,1.53521,0.31185,0.40597,0.31858,0.13906,1.87786,1.66174,1.99395,0.000429068,0.000429068,0.000429068
33,3431.51,1.38049,1.43115,1.51682,0.34021,0.45881,0.32971,0.14498,1.80511,1.62931,1.9187,0.00040707,0.00040707,0.00040707
34,3537.39,1.37681,1.43324,1.51234,0.36858,0.43806,0.32561,0.13571,1.88562,1.57808,2.01306,0.000385073,0.000385073,0.000385073
35,3641.21,1.37318,1.40592,1.52165,0.34903,0.43175,0.31942,0.14095,1.8181,1.61285,1.94043,0.000363075,0.000363075,0.000363075
36,3746.87,1.35877,1.38941,1.50756,0.34263,0.4196,0.31886,0.14852,1.8085,1.67088,1.89865,0.000341077,0.000341077,0.000341077
37,3855.94,1.35576,1.37412,1.48413,0.55583,0.4064,0.31817,0.15077,1.81378,1.65865,1.90706,0.000319079,0.000319079,0.000319079
38,3959,1.34261,1.36486,1.48957,0.3278,0.41198,0.3173,0.14977,1.79349,1.61266,1.91288,0.000297081,0.000297081,0.000297081
39,4068.68,1.31652,1.34711,1.4723,0.33169,0.39262,0.32013,0.14349,1.86165,1.60853,2.03209,0.000275084,0.000275084,0.000275084
40,4172.71,1.33161,1.34742,1.48488,0.31927,0.42114,0.31453,0.14334,1.7843,1.64784,1.90509,0.000253086,0.000253086,0.000253086
41,4511.34,1.33922,1.28268,1.53892,0.30801,0.41371,0.3164,0.14417,1.76263,1.66925,1.90294,0.000231088,0.000231088,0.000231088
