epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1604,1.77035,3.20585,2.01365,0.54852,0.19782,0.13008,0.04234,1.98293,3.3884,2.27854,0.000366172,0.000366172,0.000366172
2,113.075,1.7394,2.69245,1.93869,0.54124,0.23277,0.13174,0.04402,2.08589,3.17275,2.16891,0.000736326,0.000736326,0.000736326
3,166.086,1.75022,2.50767,1.89663,0.7467,0.19215,0.14542,0.03996,2.26988,3.09634,2.44801,0.00110576,0.00110576,0.00110576
4,218.734,1.72073,2.30997,1.86125,0.53198,0.19225,0.12784,0.04431,2.20912,2.93727,2.35117,0.00110856,0.00110856,0.00110856
5,270.86,1.6973,2.24611,1.82709,0.64278,0.31429,0.2123,0.07317,2.07816,2.35906,2.14469,0.00110666,0.00110666,0.00110666
6,322.483,1.68736,2.18248,1.8293,0.29076,0.36054,0.249,0.08999,2.02895,2.40205,2.14538,0.00110423,0.00110423,0.00110423
7,375.452,1.64423,2.07633,1.80832,0.6832,0.28174,0.27512,0.10491,1.93,2.26306,2.04809,0.00110126,0.00110126,0.00110126
8,431.66,1.64201,2.00819,1.79344,0.53285,0.23892,0.20339,0.06942,2.23019,2.46255,2.31115,0.00109776,0.00109776,0.00109776
9,487.302,1.62109,1.97329,1.77716,0.60045,0.44664,0.30085,0.11494,2.01824,1.91014,2.12834,0.00109372,0.00109372,0.00109372
10,539.266,1.61421,1.95388,1.77612,0.34938,0.33656,0.21264,0.07675,2.10195,2.14082,2.2044,0.00108916,0.00108916,0.00108916
11,589.969,1.60431,1.89581,1.75343,0.38232,0.43972,0.23335,0.09145,1.94236,2.22077,2.0337,0.00108408,0.00108408,0.00108408
12,641.32,1.58961,1.86966,1.74932,0.4908,0.31066,0.23481,0.099,1.90791,2.18706,1.99872,0.00107849,0.00107849,0.00107849
13,691.985,1.58345,1.87617,1.73296,0.55372,0.38115,0.26429,0.09546,2.05502,1.83742,2.19902,0.00107238,0.00107238,0.00107238
14,742.803,1.56375,1.80218,1.71975,0.57434,0.39531,0.29886,0.12037,1.92787,1.83765,2.02267,0.00106577,0.00106577,0.00106577
15,794.132,1.54053,1.79029,1.70191,0.5125,0.32429,0.28897,0.11749,1.92913,1.84733,2.01303,0.00105866,0.00105866,0.00105866
16,845.059,1.55267,1.80969,1.70865,0.49235,0.34056,0.24405,0.08646,2.13096,2.03312,2.22312,0.00105106,0.00105106,0.00105106
17,895.924,1.54031,1.7644,1.7047,0.67047,0.33017,0.28723,0.11837,2.03615,1.93694,2.11552,0.00104298,0.00104298,0.00104298
18,946.614,1.52596,1.75122,1.68401,0.68541,0.31167,0.25468,0.09858,1.96097,2.00312,2.10379,0.00103442,0.00103442,0.00103442
19,997.449,1.52078,1.70996,1.68246,0.69247,0.3307,0.28934,0.11901,1.95561,1.77773,2.00083,0.00102539,0.00102539,0.00102539
20,1048.1,1.49921,1.68351,1.65637,0.29848,0.37291,0.24703,0.10518,1.99555,1.87632,2.14782,0.0010159,0.0010159,0.0010159
21,1099.12,1.51391,1.64937,1.66579,0.39806,0.39535,0.3095,0.12244,2.04717,1.83347,2.07929,0.00100597,0.00100597,0.00100597
22,1150.23,1.46809,1.61219,1.62984,0.50529,0.41947,0.28669,0.11506,2.0379,1.77962,2.18813,0.000995597,0.000995597,0.000995597
23,1201.19,1.47765,1.64832,1.65057,0.29762,0.42623,0.29562,0.11326,2.01921,1.89507,2.13455,0.000984795,0.000984795,0.000984795
24,1251.99,1.47746,1.64889,1.64636,0.47348,0.37548,0.25935,0.09455,2.13938,1.8498,2.19401,0.000973575,0.000973575,0.000973575
25,1302.66,1.46988,1.57996,1.6304,0.5239,0.41215,0.29665,0.1223,1.96863,1.72983,2.0764,0.000961948,0.000961948,0.000961948
26,1353.59,1.43761,1.58407,1.61846,0.5752,0.40594,0.3153,0.1375,1.89531,1.71921,1.94722,0.000949925,0.000949925,0.000949925
27,1404.4,1.45565,1.59989,1.63032,0.25909,0.39196,0.2665,0.11101,1.93603,1.79402,2.01963,0.000937518,0.000937518,0.000937518
28,1455.3,1.44581,1.57636,1.61683,0.4286,0.37512,0.31503,0.12994,1.92826,1.68384,2.07606,0.00092474,0.00092474,0.00092474
29,1506.11,1.45348,1.53382,1.61454,0.56594,0.45615,0.29506,0.12889,1.94323,1.64735,2.06706,0.000911603,0.000911603,0.000911603
30,1556.77,1.42657,1.53231,1.59699,0.57645,0.43218,0.32227,0.13347,2.00249,1.65376,2.05935,0.00089812,0.00089812,0.00089812
31,1608.13,1.42262,1.5144,1.59018,0.54905,0.3188,0.25515,0.10206,2.01776,1.99984,2.10255,0.000884305,0.000884305,0.000884305
32,1659.99,1.4226,1.52932,1.5965,0.37973,0.40761,0.32055,0.13043,1.98485,1.71416,2.08075,0.00087017,0.00087017,0.00087017
33,1717.46,1.40962,1.49063,1.58543,0.53938,0.38429,0.31323,0.13527,1.93852,1.75617,2.02007,0.00085573,0.00085573,0.00085573
34,1772.32,1.39524,1.5026,1.57454,0.36162,0.41067,0.29607,0.12819,1.9701,1.68442,2.10719,0.000841,0.000841,0.000841
35,1823.26,1.38508,1.48961,1.57818,0.54091,0.41364,0.32099,0.1385,1.88266,1.65004,2.01093,0.000825993,0.000825993,0.000825993
36,1873.86,1.38294,1.4627,1.57146,0.52133,0.3635,0.25365,0.1007,2.00189,1.85812,2.09313,0.000810725,0.000810725,0.000810725
37,1923.79,1.37583,1.44783,1.55522,0.53763,0.36766,0.27561,0.12044,1.97025,1.90331,2.07984,0.00079521,0.00079521,0.00079521
38,1974.82,1.3694,1.44324,1.55713,0.35705,0.40827,0.29487,0.12884,1.92732,1.7147,2.03156,0.000779464,0.000779464,0.000779464
39,2025.34,1.35183,1.42374,1.53159,0.5133,0.44568,0.32145,0.13584,1.97478,1.68759,2.06545,0.000763503,0.000763503,0.000763503
40,2076.43,1.35231,1.42032,1.54573,0.29473,0.39066,0.29385,0.13586,1.80343,1.68338,1.91537,0.000747342,0.000747342,0.000747342
41,2127.52,1.34763,1.4191,1.54533,0.5618,0.38693,0.30131,0.12119,2.0138,1.84612,2.0511,0.000730997,0.000730997,0.000730997
42,2178.39,1.35158,1.40241,1.5305,0.56289,0.40055,0.32716,0.14281,1.91904,1.81255,2.03892,0.000714485,0.000714485,0.000714485
43,2229.49,1.33568,1.3743,1.52848,0.51674,0.40231,0.30451,0.1309,1.95849,1.70221,2.06496,0.000697821,0.000697821,0.000697821
44,2280.29,1.34046,1.40172,1.52688,0.53306,0.43183,0.32712,0.14542,1.8313,1.62806,1.90585,0.000681022,0.000681022,0.000681022
45,2330.96,1.31047,1.38273,1.50469,0.53869,0.42277,0.322,0.14092,1.91766,1.67693,2.02523,0.000664104,0.000664104,0.000664104
46,2381.58,1.31426,1.37473,1.51477,0.52468,0.43497,0.313,0.13648,1.93851,1.68544,2.05435,0.000647085,0.000647085,0.000647085
47,2432.07,1.29666,1.36201,1.49681,0.3432,0.42612,0.31562,0.14246,1.97678,1.64676,2.06129,0.000629981,0.000629981,0.000629981
48,2482.84,1.30572,1.33519,1.51205,0.55513,0.47068,0.33401,0.16158,1.867,1.58411,1.9942,0.000612809,0.000612809,0.000612809
49,2533.69,1.29569,1.35527,1.50564,0.5474,0.4409,0.30633,0.13117,1.96751,1.57231,2.10123,0.000595586,0.000595586,0.000595586
50,2584.47,1.30059,1.33334,1.50853,0.59606,0.38813,0.35702,0.1498,1.98787,1.69803,2.07697,0.000578329,0.000578329,0.000578329
51,2635.26,1.29563,1.33658,1.50125,0.52551,0.40719,0.29573,0.12763,1.98922,1.69397,2.10327,0.000561055,0.000561055,0.000561055
52,2685.95,1.28789,1.31892,1.49606,0.56893,0.37927,0.32843,0.1443,1.97221,1.7008,2.07266,0.000543781,0.000543781,0.000543781
53,2737.11,1.26129,1.28532,1.47751,0.54673,0.41062,0.31226,0.14308,1.8772,1.65886,1.96921,0.000526524,0.000526524,0.000526524
54,2787.76,1.26631,1.29113,1.47179,0.57883,0.43953,0.32542,0.14415,1.93194,1.78667,2.01385,0.000509301,0.000509301,0.000509301
55,2838.65,1.26608,1.28423,1.46749,0.59847,0.41675,0.34432,0.14608,1.90835,1.67182,2.01619,0.000492129,0.000492129,0.000492129
56,2889.53,1.25119,1.24973,1.46424,0.39509,0.4136,0.32756,0.13423,1.9656,1.73974,2.07617,0.000475025,0.000475025,0.000475025
57,2940.08,1.23301,1.25171,1.44989,0.55348,0.39472,0.31481,0.13925,1.89257,1.8429,2.0054,0.000458006,0.000458006,0.000458006
58,2990.54,1.22923,1.25721,1.44726,0.54945,0.39144,0.29722,0.13058,1.99713,1.75984,2.11446,0.000441088,0.000441088,0.000441088
59,3041.21,1.23242,1.26011,1.45108,0.3864,0.41498,0.3332,0.14178,1.94487,1.7574,2.00882,0.000424289,0.000424289,0.000424289
60,3091.83,1.21593,1.23336,1.43395,0.3811,0.39417,0.32031,0.14368,1.94831,1.74976,2.0455,0.000407625,0.000407625,0.000407625
61,3142.52,1.21869,1.21972,1.43766,0.54972,0.38361,0.32552,0.135,1.91251,1.64408,2.03144,0.000391113,0.000391113,0.000391113
62,3193.19,1.20649,1.22298,1.42887,0.3244,0.42838,0.3257,0.13675,1.96265,1.68557,2.07514,0.000374768,0.000374768,0.000374768
63,3244.13,1.19932,1.2215,1.42373,0.34664,0.42095,0.32017,0.13149,2.00465,1.73881,2.11988,0.000358607,0.000358607,0.000358607
64,3294.69,1.2007,1.21856,1.42732,0.52459,0.40382,0.32088,0.13755,2.00242,1.70525,2.11791,0.000342646,0.000342646,0.000342646
65,3345.49,1.20931,1.23048,1.42938,0.54931,0.36113,0.31375,0.13793,1.91626,1.7542,2.04071,0.0003269,0.0003269,0.0003269
66,3396.22,1.19797,1.20685,1.42784,0.53637,0.37622,0.30632,0.13373,1.93582,1.81991,2.05007,0.000311385,0.000311385,0.000311385
67,3446.55,1.18633,1.18549,1.4079,0.53076,0.39156,0.31179,0.13811,1.93256,1.89668,2.01484,0.000296117,0.000296117,0.000296117
68,3497.11,1.17098,1.20017,1.40879,0.57343,0.37784,0.33056,0.14419,1.94956,1.8318,2.0675,0.00028111,0.00028111,0.00028111
69,3548.54,1.15759,1.17031,1.38515,0.5358,0.41202,0.31024,0.14115,1.94625,1.73685,2.07716,0.00026638,0.00026638,0.00026638
70,3599.21,1.16876,1.17016,1.39509,0.56909,0.40022,0.32313,0.14759,1.91069,1.77726,2.05748,0.00025194,0.00025194,0.00025194
71,3649.19,1.14348,1.15858,1.38845,0.29765,0.36216,0.28552,0.13052,1.88045,1.95504,2.01624,0.000237805,0.000237805,0.000237805
72,3699.19,1.15302,1.17065,1.38339,0.53079,0.36947,0.28348,0.12421,1.9459,1.85162,2.08854,0.00022399,0.00022399,0.00022399
73,3750.01,1.13358,1.1353,1.37528,0.50271,0.39538,0.29622,0.13114,1.96316,1.71837,2.16079,0.000210507,0.000210507,0.000210507
74,3800.84,1.14252,1.13527,1.38303,0.54818,0.34088,0.30827,0.13979,1.97885,1.73787,2.1777,0.00019737,0.00019737,0.00019737
75,3851.86,1.1382,1.13193,1.37409,0.52812,0.38055,0.31965,0.14196,1.8988,1.77791,2.05133,0.000184592,0.000184592,0.000184592
76,3902.93,1.12738,1.12384,1.37093,0.57161,0.34812,0.31852,0.14317,1.93022,1.68614,2.09949,0.000172185,0.000172185,0.000172185
77,3954.28,1.12302,1.11221,1.3678,0.54598,0.3417,0.30435,0.13472,1.92007,1.81031,2.06639,0.000160162,0.000160162,0.000160162
78,4005.29,1.11683,1.11823,1.36548,0.53156,0.39338,0.31714,0.14456,1.98521,1.72509,2.20081,0.000148535,0.000148535,0.000148535
